kind	token	count
pb-total	<pb:...>	1077
pb-sample	<pb:KR1a0001_tls_017-1a>	1
pb-sample	<pb:KR1a0001_tls_017-2a>	1
pb-sample	<pb:KR1a0001_tls_017-3a>	1
pb-sample	<pb:KR1a0001_tls_017-4a>	1
pb-sample	<pb:KR1a0001_tls_017-5a>	1
pb-sample	<pb:KR1a0001_tls_017-6a>	1
pb-sample	<pb:KR1a0001_tls_017-7a>	1
pb-sample	<pb:KR1a0001_tls_017-8a>	1
pb-sample	<pb:KR1a0001_tls_017-9a>	1
pb-sample	<pb:KR1a0001_tls_017-10a>	1
pb-sample	<pb:KR1a0001_tls_017-11a>	1
pb-sample	<pb:KR1a0001_tls_017-12a>	1
pb-sample	<pb:KR1a0001_tls_017-13a>	1
pb-sample	<pb:KR1a0001_tls_017-14a>	1
pb-sample	<pb:KR1a0001_tls_017-15a>	1
pb-sample	<pb:KR1a0001_tls_017-16a>	1
pb-sample	<pb:KR1a0001_tls_019-1a>	1
pb-sample	<pb:KR1a0001_tls_019-2a>	1
pb-sample	<pb:KR1a0001_tls_019-3a>	1
pb-sample	<pb:KR1a0001_tls_019-4a>	1
