block	distinct_codepoints	total_count
CJK Unified Ideographs	19312	874463238
Basic Latin	96	47936399
CJK Symbols and Punctuation	21	20309005
Halfwidth and Fullwidth Forms	45	4346796
CJK Unified Ideographs Extension A	6182	2653837
CJK Unified Ideographs Extension B	6793	791483
Geometric Shapes	29	658709
CJK Unified Ideographs Extension D	3	77653
Box Drawing	15	47552
CJK Compatibility Forms	12	33241
Yijing Hexagram Symbols	64	29180
CJK Unified Ideographs Extension E	17	21825
General Punctuation	9	12344
Unassigned/Unmapped	68	9875
CJK Unified Ideographs Extension C	16	9237
Arrows	2	7566
Bopomofo	21	6850
Supplementary Private Use Area-A	567	6297
CJK Compatibility Ideographs	7	5907
Latin Extended-A	10	4739
Katakana	46	1883
Miscellaneous Symbols	16	1827
Hiragana	21	1108
Latin-1 Supplement	8	987
Mathematical Operators	10	579
Ideographic Description Characters	10	114
CJK Radicals Supplement	6	60
Block Elements	1	43
Cyrillic	3	29
Hangul Syllables	5	28
CJK Unified Ideographs Extension F	15	27
Enclosed CJK Letters and Months	6	25
Supplementary Private Use Area-B	12	14
Yi Syllables	2	10
Kangxi Radicals	2	9
Enclosed Alphanumerics	1	6
Private Use Area	3	5
Small Form Variants	2	3
Number Forms	1	2
Greek and Coptic	1	1
